cdsmith	7.000000,361.000000,18.000000,11.452482,0.071158,8.408048,
cdsmith	5.000000,230.000000,15.000000,10.723151,0.078532,7.910224,
Educated-lefty	3.000000,48.000000,14.000000,7.778684,0.147177,6.206576,
Educated-lefty	3.000000,41.000000,14.000000,6.902662,0.187817,5.976351,
veryhairyberry	1.000000,97.000000,18.000000,9.933752,0.112921,6.825460,
veryhairyberry	1.000000,68.000000,18.000000,7.924081,0.143312,6.442540,
izzy	0.000000,125.000000,16.000000,9.781360,0.140323,7.122867,
izzy	0.000000,130.000000,13.000000,9.394561,0.132743,7.125283,
alragusa	8.000000,105.000000,13.000000,8.812608,0.110280,6.975414,
alragusa	8.000000,100.000000,13.000000,8.369819,0.115942,6.873164,
austrologi	8.000000,216.000000,14.000000,9.637465,0.098978,7.527794,
austrologi	3.000000,67.000000,14.000000,8.754727,0.128319,6.519147,
Seeda_Boo	7.000000,69.000000,20.000000,8.641743,0.124378,6.689599,
Seeda_Boo	7.000000,69.000000,20.000000,8.410018,0.140110,6.590301,
QSector	2.000000,126.000000,14.000000,10.008060,0.101530,7.271009,
QSector	3.000000,124.000000,16.000000,10.258724,0.088847,7.369601,
smellslikegelfling	7.000000,64.000000,14.000000,9.721993,0.095188,6.862758,
smellslikegelfling	8.000000,57.000000,13.000000,9.563301,0.095756,6.823286,
frescanada	19.000000,77.000000,15.000000,9.094494,0.097588,6.815640,
frescanada	5.000000,81.000000,13.000000,9.600866,0.117260,6.632002,
TheDisastrousGamer	9.000000,68.000000,13.000000,7.260064,0.135065,6.646391,
TheDisastrousGamer	5.000000,91.000000,14.000000,7.959839,0.125000,6.907755,
mindbleach	9.000000,171.000000,32.000000,10.546466,0.111772,7.321189,
mindbleach	10.000000,205.000000,32.000000,10.731921,0.097815,7.607878,
BuddhaFacepalmed	12.000000,116.000000,18.000000,9.992059,0.115419,7.034388,
BuddhaFacepalmed	3.000000,136.000000,19.000000,9.570444,0.118506,7.116394,
bbuk11	0.000000,34.000000,15.000000,6.575875,0.223333,5.703782,
bbuk11	2.000000,61.000000,15.000000,7.696682,0.198953,5.945421,
OmegaSeven	8.000000,44.000000,16.000000,9.399405,0.084088,6.650279,
OmegaSeven	8.000000,47.000000,14.000000,9.422616,0.091185,6.489205,
mnocket	11.000000,126.000000,13.000000,9.614378,0.123209,6.953684,
mnocket	4.000000,49.000000,17.000000,9.000000,0.117910,6.507278,
SycoJack	8.000000,95.000000,14.000000,8.152837,0.122788,6.806829,
SycoJack	9.000000,87.000000,13.000000,8.542823,0.110619,6.806829,
intrepidone66	3.000000,89.000000,16.000000,8.863619,0.114790,6.809039,
intrepidone66	3.000000,131.000000,16.000000,9.407233,0.093433,7.297768,
Josheru	12.000000,171.000000,32.000000,8.939697,0.117728,7.286876,
Josheru	22.000000,130.000000,15.000000,8.667794,0.105678,7.145196,
stevemlutz	3.000000,268.000000,19.000000,9.527681,0.097483,7.944847,
stevemlutz	5.000000,315.000000,19.000000,9.132996,0.100920,8.055475,
markca	2.000000,64.000000,13.000000,8.211733,0.134831,6.434547,
markca	2.000000,65.000000,14.000000,7.789695,0.141491,6.259581,
thenoorys	5.000000,101.000000,16.000000,9.315565,0.123947,6.722630,
thenoorys	12.000000,92.000000,16.000000,8.940885,0.116972,6.770789,
khast	7.000000,91.000000,16.000000,10.656415,0.083837,7.188413,
khast	4.000000,78.000000,16.000000,10.182295,0.080257,7.127694,
mdavwa	5.000000,133.000000,18.000000,9.123724,0.113051,6.992096,
mdavwa	4.000000,140.000000,17.000000,9.108267,0.119313,7.060476,
gex80	5.000000,175.000000,15.000000,8.654273,0.091653,7.513709,
gex80	1.000000,89.000000,13.000000,9.237075,0.099613,6.941190,
treetop82	15.000000,135.000000,14.000000,10.006490,0.097610,7.317212,
treetop82	13.000000,167.000000,24.000000,10.262920,0.094773,7.462215,
upvoteplease04	20.000000,399.000000,15.000000,9.011353,0.117587,7.984122,
upvoteplease04	39.000000,345.000000,25.000000,9.209122,0.113802,7.863651,
draftermath	2.000000,86.000000,17.000000,8.326309,0.112500,6.866933,
draftermath	1.000000,82.000000,14.000000,8.565812,0.117519,6.823286,
Diced	10.000000,65.000000,14.000000,8.477226,0.173307,6.218600,
Diced	9.000000,110.000000,14.000000,8.414627,0.170861,6.626718,
mrpickles	3.000000,84.000000,26.000000,8.823491,0.136625,6.769642,
mrpickles	1.000000,57.000000,15.000000,8.041494,0.163022,6.220590,
fingers	5.000000,93.000000,13.000000,6.833259,0.142678,6.683361,
fingers	10.000000,80.000000,13.000000,6.302891,0.142667,6.620073,
ShoggothFromSpace	8.000000,65.000000,14.000000,8.758289,0.124812,6.499787,
ShoggothFromSpace	6.000000,59.000000,15.000000,8.237229,0.199074,6.068426,
Diesel-66	2.000000,102.000000,14.000000,8.167204,0.120619,6.877296,
Diesel-66	0.000000,68.000000,17.000000,8.140873,0.125828,6.626718,
dirtyfries	3.000000,122.000000,14.000000,9.461623,0.111902,6.890609,
dirtyfries	1.000000,118.000000,15.000000,9.076436,0.111111,7.001246,
NarrowLightbulb	5.000000,99.000000,13.000000,8.951612,0.120192,6.723832,
NarrowLightbulb	3.000000,91.000000,15.000000,9.160504,0.112098,6.803505,
1standarduser	7.000000,63.000000,12.000000,8.199715,0.108592,6.731018,
1standarduser	9.000000,71.000000,24.000000,9.085806,0.103211,6.770789,
r_a_g_s	11.000000,174.000000,30.000000,10.820664,0.099376,7.641564,
r_a_g_s	22.000000,232.000000,30.000000,10.213269,0.109264,7.652071,
S4ngin	8.000000,91.000000,17.000000,9.179144,0.111413,7.006695,
S4ngin	6.000000,105.000000,14.000000,9.188527,0.107276,6.977281,
I_HATE_CIRCLEJERKS	21.000000,589.000000,16.000000,8.926085,0.107280,8.503297,
I_HATE_CIRCLEJERKS	31.000000,381.000000,13.000000,8.139976,0.120724,8.019613,
nicolauz	8.000000,51.000000,17.000000,8.244044,0.166307,6.137727,
nicolauz	10.000000,39.000000,14.000000,8.051969,0.156250,6.104793,
DiggSucksNow	6.000000,116.000000,15.000000,9.708204,0.101983,6.965080,
DiggSucksNow	10.000000,203.000000,29.000000,10.101094,0.092943,7.463363,
Asahoshi	6.000000,94.000000,13.000000,9.461623,0.108782,6.909753,
Asahoshi	4.000000,118.000000,14.000000,9.198472,0.103965,7.034388,
hopeLB	8.000000,132.000000,24.000000,9.804730,0.104089,6.981006,
hopeLB	6.000000,115.000000,16.000000,8.799687,0.122449,6.725034,
globalglasnost	13.000000,130.000000,43.000000,10.637626,0.116994,7.065613,
globalglasnost	12.000000,211.000000,43.000000,11.151601,0.110563,7.258412,
tritonx	3.000000,64.000000,17.000000,8.368034,0.122691,6.630683,
tritonx	4.000000,69.000000,14.000000,7.939636,0.120344,6.548219,
l33tb3rt	12.000000,281.000000,15.000000,10.048936,0.096516,7.822845,
l33tb3rt	18.000000,184.000000,14.000000,8.515131,0.114719,7.234177,
fixingthepast	4.000000,52.000000,14.000000,7.814750,0.158009,6.135565,
fixingthepast	9.000000,72.000000,14.000000,8.320701,0.139493,6.313548,
lgodsey	14.000000,152.000000,19.000000,10.407082,0.097177,7.328437,
lgodsey	8.000000,122.000000,13.000000,11.023403,0.086508,7.138867,
Beefmotron	5.000000,157.000000,19.000000,7.641870,0.132749,7.375882,
Beefmotron	4.000000,174.000000,15.000000,7.769408,0.138520,7.365813,
ivquatch	5.000000,139.000000,21.000000,10.925939,0.103372,7.218177,
ivquatch	9.000000,210.000000,21.000000,10.541552,0.102651,7.480428,
iSanddbox	5.000000,90.000000,16.000000,9.695907,0.114228,6.905753,
iSanddbox	4.000000,59.000000,16.000000,9.555377,0.110843,6.721426,
bobsomeguy	4.000000,72.000000,17.000000,9.276750,0.082984,7.084226,
bobsomeguy	5.000000,108.000000,16.000000,9.719488,0.081522,7.294377,
baconatedwaffle	2.000000,80.000000,16.000000,11.519428,0.091684,6.843750,
baconatedwaffle	4.000000,80.000000,15.000000,11.156086,0.081749,6.958448,
cool_slowbro	6.000000,39.000000,12.000000,8.386687,0.156863,6.129050,
cool_slowbro	10.000000,33.000000,11.000000,8.105446,0.152361,6.144186,
BatCountry9	6.000000,119.000000,17.000000,9.192779,0.093954,7.109879,
BatCountry9	7.000000,107.000000,16.000000,8.332682,0.113636,6.828712,
missinguser	2.000000,51.000000,15.000000,8.405625,0.149446,6.295266,
missinguser	1.000000,63.000000,13.000000,9.343130,0.108508,6.698268,
EdinMiami	3.000000,76.000000,13.000000,8.537088,0.124424,6.766192,
EdinMiami	1.000000,110.000000,15.000000,8.451571,0.131013,6.884487,
howardson1	13.000000,272.000000,22.000000,11.450997,0.083258,7.695303,
howardson1	8.000000,151.000000,22.000000,10.848116,0.107858,7.168580,
mclumber1	4.000000,64.000000,15.000000,10.593572,0.085515,7.044033,
mclumber1	8.000000,75.000000,15.000000,8.927190,0.121143,6.774224,
log92338	19.000000,192.000000,22.000000,10.354022,0.103485,7.531016,
log92338	23.000000,179.000000,22.000000,10.912566,0.097222,7.534763,
RentalCanoe	2.000000,123.000000,19.000000,9.773651,0.134855,6.871091,
RentalCanoe	4.000000,62.000000,19.000000,9.071008,0.127389,6.442540,
jjandre	11.000000,266.000000,20.000000,9.732731,0.086989,7.888710,
jjandre	11.000000,271.000000,20.000000,9.768516,0.082800,7.996654,
GimmeGimmeGimmeLib	6.000000,92.000000,13.000000,8.182708,0.126547,6.588926,
GimmeGimmeGimmeLib	2.000000,120.000000,14.000000,7.803845,0.154037,6.690842,
Amaturus	0.000000,63.000000,16.000000,9.899275,0.130435,6.536692,
Amaturus	12.000000,142.000000,21.000000,10.623975,0.108597,7.189922,
You_and_I_in_Unison	6.000000,76.000000,18.000000,9.803361,0.117318,6.796824,
You_and_I_in_Unison	7.000000,51.000000,13.000000,10.245688,0.099734,6.622736,
Mongfight	4.000000,84.000000,14.000000,7.459117,0.141919,6.634633,
Mongfight	3.000000,50.000000,14.000000,7.373835,0.181818,6.111467,
georgemagoo	9.000000,84.000000,18.000000,6.670066,0.178451,6.386879,
georgemagoo	36.000000,134.000000,18.000000,8.043291,0.141923,6.976348,
Budge-O-Matic	9.000000,119.000000,15.000000,9.828648,0.112370,6.965080,
Budge-O-Matic	9.000000,180.000000,15.000000,10.071068,0.106963,7.239215,
nitotheblue	4.000000,88.000000,14.000000,9.059407,0.180967,6.463029,
nitotheblue	6.000000,101.000000,16.000000,9.751623,0.170338,6.523562,
